2022-12-31 16:30:01.463681, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 16:45:02.049920, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 17:00:01.328305, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 17:15:01.595285, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 17:30:02.113675, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 17:45:01.997174, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 18:00:01.719617, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 18:15:01.577677, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 18:30:01.639158, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 18:45:01.403371, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 19:00:01.395537, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 19:15:01.270428, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 19:30:02.842610, B/S PRICE:16544.28, TYPE: sell, STOP: 16572.62, TARGET: 16489.1
2022-12-31 19:45:00.985977, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 19:50:52.188825, B/S PRICE:16487.46, TYPE: GAIN, STOP: 0, TARGET: 0
2022-12-31 20:00:01.422618, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 20:15:01.034884, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 20:30:00.954722, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 20:45:01.497703, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 21:00:01.809270, B/S PRICE:16541.61, TYPE: sell, STOP: 16557.55, TARGET: 16510.210000000003
2022-12-31 21:15:01.172477, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 21:30:00.995887, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 21:37:22.774790, B/S PRICE:16509.2, TYPE: GAIN, STOP: 0, TARGET: 0
